"mac","firstActivatedAt","name","productId"
"000d6f0012bb2352","2023-03-11T10:31:07.680Z","Khoá cửa Yale","YLDLZB01000101"
"2023-03-28T01:30:37.340Z","000d6f0012bb1c70","Khoá cửa Yale","YLDLZB01000101"
"2023-03-02T10:47:13.972Z","ec1bbdfffecd526b","Ổ cắm đơn","TSPLZB01000101"
"2023-03-03T06:59:25.856Z","ec1bbdfffed2cc8c","Ổ cắm đơn","TSPLZB01000101"
"ec1bbdfffecd5097","2023-03-08T07:24:57.692Z","Ổ cắm đơn","TSPLZB01000101"
"2023-03-17T04:09:01.006Z","ec1bbdfffecd50b5","Ổ cắm đơn","TSPLZB01000101"
"2023-03-17T16:38:35.812Z","ec1bbdfffecd53c5","Ổ cắm đơn","TSPLZB01000101"
"ec1bbdfffecd51bf","2023-03-20T02:47:10.965Z","Ổ cắm đơn","TSPLZB01000101"
"ec1bbdfffed2cd16","2023-03-20T13:00:51.185Z","Ổ cắm đơn","TSPLZB01000101"
"2023-03-22T07:28:41.931Z","ec1bbdfffed2d0a4","Ổ cắm đơn","TSPLZB01000101"
"ec1bbdfffecd5242","2023-03-28T08:14:56.734Z","Ổ cắm đơn","TSPLZB01000101"
"2023-03-08T09:22:59.847Z","6055f977cb70","Rogo Wile Ir","RGWLIR63010001"
"2023-03-14T09:43:47.698Z","6055f977b78c","Rogo Wile Ir","RGWLIR63010001"
"6055f9753134","2023-03-24T07:52:39.837Z","Rogo Wile Ir","RGWLIR63010001"
"6055f9752e50","2023-03-24T08:02:45.855Z","Rogo Wile Ir","RGWLIR63010001"
"6055f977b6a0","2023-03-27T05:56:32.166Z","Rogo Wile Ir","RGWLIR63010001"
"6055f9755e5c","2023-03-30T10:31:05.486Z","Rogo Wile Ir","RGWLIR63010001"
"2023-03-04T10:21:25.029Z","0b452d6a-31c6-1c4a-8617-d2bb69df7a72","Công tắc 4","RGRDSWBM040001WH"
"2023-03-11T09:35:36.943Z","6cca8e2c-74e2-0146-b955-e89273bc0e6a","Công tắc 4","RGRDSWBM040001WH"
"2023-03-11T09:39:55.393Z","b954aba8-93ef-2442-9db6-771070ccaacb","Công tắc 4","RGRDSWBM040001WH"
"2023-03-11T10:13:16.483Z","2f289ae2-18af-2241-86bc-8fb3bf4d9d26","Công tắc 4","RGRDSWBM040001WH"
"2023-03-14T02:13:53.390Z","11a77c26-a17d-b54e-9e04-68b5afde2ae7","Công tắc 4","RGRDSWBM040001WH"
"2023-03-14T02:16:33.183Z","1297654d-b850-ea4b-9873-398758fadbc6","Công tắc 4","RGRDSWBM040001WH"
"2023-03-14T02:18:49.179Z","d6909720-c8af-9f4a-9124-68a9a03ce4bb","Công tắc 4","RGRDSWBM040001WH"
"2023-03-22T07:43:51.953Z","d651cac0-0e15-3541-bb3e-8c1dd50797a6","Công tắc 4","RGRDSWBM040001WH"
"2023-03-02T10:53:27.258Z","9bef726c-7057-a34d-a8b9-c779c75a4222","Công tắc 3","RGRDSWBM030001WH"
"2023-03-14T02:07:12.207Z","a0615675-b2fd-c54b-a257-14907a118887","Công tắc 3","RGRDSWBM030001WH"
"2023-03-14T02:11:46.602Z","c5799c4d-055f-2b43-9822-bd2ff6085f9d","Công tắc 3","RGRDSWBM030001WH"
"2023-03-14T02:24:31.499Z","ddc44524-e011-8d42-94c3-8327cf099b65","Công tắc 3","RGRDSWBM030001WH"
"2023-03-14T02:30:16.579Z","579c59c1-cfe6-7a4a-859d-660b0484398f","Công tắc 3","RGRDSWBM030001WH"
"2023-03-14T02:40:00.900Z","6c4c6523-5386-f24c-8a8b-0c4b38ec82ba","Công tắc 3","RGRDSWBM030001WH"
"2023-03-14T02:47:51.892Z","b8eb549b-1813-ee4f-8333-b5d15fbf5949","Công tắc 3","RGRDSWBM030001WH"
"2023-03-22T07:41:16.517Z","f38b3174-618e-4544-b4d5-e07b063674c1","Công tắc 3","RGRDSWBM030001WH"
"2023-03-04T08:30:36.135Z","d6d48c4a-cc99-6847-b07d-e2141085f62a","Công tắc 2","RGRDSWBM020001WH"
"2023-03-04T08:31:55.834Z","e67ec003-ad6e-9849-84b3-3e5ab81c7b21","Công tắc 2","RGRDSWBM020001WH"
"2023-03-04T09:56:56.113Z","39991793-9963-8747-a182-7229f3878f25","Công tắc 2","RGRDSWBM020001WH"
"2023-03-04T10:50:13.737Z","df3c94b6-c96c-4842-87b4-c67e6cb26957","Công tắc 2","RGRDSWBM020001WH"
"2023-03-11T09:32:48.937Z","06ccc8c8-8424-e746-b4e8-2d40c35caaaf","Công tắc 2","RGRDSWBM020001WH"
"2023-03-11T09:37:32.180Z","1bb513ca-2b5c-4048-a174-6b5ad5a3e842","Công tắc 2","RGRDSWBM020001WH"
"2023-03-11T09:41:00.294Z","02131888-0b0d-2f4d-bb4d-652136a1f169","Công tắc 2","RGRDSWBM020001WH"
"2023-03-11T10:15:16.844Z","ec272460-08ec-f243-baf5-afdb460b3e39","Công tắc 2","RGRDSWBM020001WH"
"2023-03-14T02:50:35.232Z","d87bf864-12d1-1541-b137-6b69f10a8829","Công tắc 2","RGRDSWBM020001WH"
"2023-03-22T07:27:48.612Z","7dbb21de-8187-ae4d-ab96-7d86d15d7e3b","Công tắc 2","RGRDSWBM020001WH"
"2023-03-16T04:47:19.549Z","aa7496a1-9e3b-a04b-9342-6c4e5048deb1","Công tắc 1","RGRDSWBM010001WH"
"2023-03-19T02:25:02.644Z","63b84fb4-565f-aa45-874f-9383f116e2d7","Công tắc 1","RGRDSWBM010001WH"
"98:df:82:c3:a3:fc","2023-03-29T03:58:56.683Z","Ip Camera","RGCMIP000D0001"
"2023-03-08T04:02:15.589Z","1dd001e1-e7fc-b13b-b48c-c8314d9b1226","Công tắc 4","RDSWBM0304020001"
"2023-03-18T13:11:13.594Z","f9f6eb63-85ea-1e38-a579-209afd5654c8","Công tắc 4","RDSWBM0304020001"
"2023-03-18T13:17:17.653Z","8e8badbc-cf03-073f-af67-a728f4b116c5","Công tắc 4","RDSWBM0304020001"
